task_id,question,choices,answer
rt05950,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.Scanner;
class Main {
  public static void main(String[] args){
		Scanner sc = new Scanner(System.in);
        int N = sc.nextInt();
        long[] lst = new long[N];
        for(int i = 0; i < N; i++){
            lst[i] = sc.nextInt();
        }
        sc.close();

        int cnt = 0;
        for(int i = 0; i < N -2; i++){
            for(int j = i + 1; j < N -1; j++){
                if( lst[i] == lst[j]){
                    continue;
                }
                for(int k = j + 1; k < N; k++){
                    if( lst[i] == lst[k] || lst[j] == lst[k]){
                        continue;
                    }
                    long c = lst[i] + lst[j] + lst[k];
                    if ( lst[i] * 2 < c && lst[j] * 2 < c && lst[k] * 2 < c ){
                        cnt++;
                    }
                }
            }
        }
        System.out.println(cnt);
	}
}

['Time Limit Exceeded', 'Runtime Error', 'Internal error', 'Compile Error']

Answer: ","['Time Limit Exceeded', 'Runtime Error', 'Internal error', 'Compile Error']",B
rt05959,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.*;

public class Main {
    public static void main(String[] args){
	Scanner sc = new Scanner(System.in);
	long N = sc.nextLong();
	long now = 0;
	int keta = 1;
	while(N > now) {
	    now = now + (long)Math.pow(26,keta);
	    keta++;
	}
	keta--;
	now = now - (long)Math.pow(26,keta);
	int shou = (int)(N-now-1); //その桁の初めから何番目か
	int[] name = new int[keta];
	int ncheck = keta-1;
	while (shou != 0) {
	    name[ncheck] = shou % 26;
	    ncheck--;
	    shou = shou/26;
	}
	char[] abc = {'a','b','c','d','e','f','g','h','i',
		      'j','k','l','m','n','o','p','q','r',
		      's','t','u','v','w','x','y','z'};
	for (int i=0;i<keta;i++) {
	    System.out.print(abc[name[i]]);
	}
    }
}


['No abnormally found', 'Runtime Error', 'Compile Error', 'Time Limit Exceeded']

Answer: ","['No abnormally found', 'Runtime Error', 'Compile Error', 'Time Limit Exceeded']",B
rt05971,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.Scanner;

public class Main {
  public static void main(String[] args){
    Scanner sc = new Scanner(System.in);
    
    int a=sc.nextInt();
    int b=sc.nextInt();
    int c=sc.nextInt();
    System.out.println(c+"" ""+a+"" ""+b);
  }}

['Memory Limit Exceeded', 'Runtime Error', 'No abnormally found', 'Compile Error']

Answer: ","['Memory Limit Exceeded', 'Runtime Error', 'No abnormally found', 'Compile Error']",B
rt05995,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.*;
public class Main {
	public static void main(String[] args){
		Scanner sc = new Scanner(System.in);
		// 整数の入力
		int N = sc.nextInt();
      	int i = 0;
        int min = N + 1;
        int count = 0; 
      	int P[] = new int[N];
      	for(i = 0;i < N;i++){
          A[i] = sc.nextInt();
          if(A[i] < min){
            min = A[i];
            count += 1;
          }
        }
       System.out.println(count);            
    }
}

['Compile Error', 'Time Limit Exceeded', 'Internal error', 'Runtime Error']

Answer: ","['Compile Error', 'Time Limit Exceeded', 'Internal error', 'Runtime Error']",A
rt05998,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.*;
 
public class Main {
    public static void main(final String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();
        int[] b = new int[n-1];
        for (int i = 0; i < n-1; i++) {
            b[i] = sc.nextInt();
        }
        
        int count = b[0] + b[n-2];
        for (int i = 0; i < n; i++) {
            count += Math.min(b[i-1], b[i]);
        }
        System.out.println(count);
        
    }
}

['Internal error', 'No abnormally found', 'Memory Limit Exceeded', 'Runtime Error']

Answer: ","['Internal error', 'No abnormally found', 'Memory Limit Exceeded', 'Runtime Error']",D
rt06001,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.Scanner;
 
public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
 
        int N = sc.nextInt();
        int T = sc.nextInt();
        int result = 1001;
        for (int i=0;i<n;i++){
            int c = sc.nextInt();
            if (sc.nextInt()<=T){
                result = Math.min(c,result);
        }
        if (result==1001){
            System.out.println(""TLE"");
        }else{ 
            System.out.println(result);
    }
}

['No abnormally found', 'Time Limit Exceeded', 'Memory Limit Exceeded', 'Compile Error']

Answer: ","['No abnormally found', 'Time Limit Exceeded', 'Memory Limit Exceeded', 'Compile Error']",D
rt06018,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.io.IOException;
import java.io.InputStream;
import java.util.HashSet;
import java.util.LinkedList;
import java.util.NoSuchElementException;

public class Main {
    public static void main(String[] args) {
        FastScanner fsc = new FastScanner();
        int n = fsc.nextInt();
        HashSet<Integer>[] children = new HashSet[n];
        LinkedList<Integer>[] leafChildren = new LinkedList[n];
        HashSet<Integer> leafParents = new HashSet<>();
        HashSet<Integer> leafs = new HashSet<>();
        for (int i = 0; i < n; i++) {
            children[i] = new HashSet<>();
            leafChildren[i] = new LinkedList<>();
            leafs.add(i);
        }
        int[] parent = new int[n];
        for (int i = 1; i < n; i++) {
            int p = fsc.nextInt() - 1;
            parent[i] = p;
            children[p].add(i);
            leafs.remove(p);
        }
        for (int e : leafs) {
            leafParents.add(parent[e]);
            leafChildren[parent[e]].addLast(e);
        }
        int rank = 0;
        int matches = 0;
        while (matches < n - 1) {
            HashSet<Integer> add = new HashSet<>();
            HashSet<Integer> rm = new HashSet<>();
            for (int p : leafParents) {
                int child = leafChildren[p].removeFirst();
                children[p].remove(child);
                if (leafChildren[p].size() == 0) {
                    rm.add(p);
                    add.remove(p);
                }
                if (children[p].size() == 0) {
                    rm.add(p);
                    add.remove(p);
                    rm.remove(parent[p]);
                    add.add(parent[p]);
                    leafChildren[parent[p]].addLast(p);
                }
                matches++;
            }
            for (int rmv : rm) {
                leafParents.remove(rmv);
            }
            for (int ad : add) {
                leafParents.add(ad);
            }
            rank++;
        }
        System.out.println(rank);
    }
}

class FastScanner {
    private final InputStream in = System.in;
    private final byte[] buffer = new byte[1024];
    private int ptr = 0;
    private int buflen = 0;

    private boolean hasNextByte() {
        if (ptr < buflen) {
            return true;
        } else {
            ptr = 0;
            try {
                buflen = in.read(buffer);
            } catch (IOException e) {
                e.printStackTrace();
            }
            if (buflen <= 0) {
                return false;
            }
        }
        return true;
    }

    private int readByte() {
        if (hasNextByte())
            return buffer[ptr++];
        else
            return -1;
    }

    private static boolean isPrintableChar(int c) {
        return 33 <= c && c <= 126;
    }

    public boolean hasNext() {
        while (hasNextByte() && !isPrintableChar(buffer[ptr]))
            ptr++;
        return hasNextByte();
    }

    public String next() {
        if (!hasNext())
            throw new NoSuchElementException();
        StringBuilder sb = new StringBuilder();
        int b = readByte();
        while (isPrintableChar(b)) {
            sb.appendCodePoint(b);
            b = readByte();
        }
        return sb.toString();
    }

    public long nextLong() {
        if (!hasNext())
            throw new NoSuchElementException();
        long n = 0;
        boolean minus = false;
        int b = readByte();
        if (b == '-') {
            minus = true;
            b = readByte();
        }
        if (b < '0' || '9' < b) {
            throw new NumberFormatException();
        }
        while (true) {
            if ('0' <= b && b <= '9') {
                n *= 10;
                n += b - '0';
            } else if (b == -1 || !isPrintableChar(b)) {
                return minus ? -n : n;
            } else {
                throw new NumberFormatException();
            }
            b = readByte();
        }
    }

    public int nextInt() {
        long nl = nextLong();
        if (nl < Integer.MIN_VALUE || nl > Integer.MAX_VALUE)
            throw new NumberFormatException();
        return (int) nl;
    }

    public double nextDouble() {
        return Double.parseDouble(next());
    }
}


['Time Limit Exceeded', 'Runtime Error', 'Internal error', 'No abnormally found']

Answer: ","['Time Limit Exceeded', 'Runtime Error', 'Internal error', 'No abnormally found']",A
rt06024,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.Scanner;

public class Main{

	public static void main(String[] args) {
		// TODO 自動生成されたメソッド・スタブ
		Scanner scan = new Scanner(System.in);
		int n = scan.nextInt();
		long d = scan.nextInt();
		int count = 0;
		for(int i = 0; i < n; i++) {
			long x = scan.nextLong();
			long y = scan.nextLong();
			long xx;
			long yy;
			xx = (long)Math.pow(x,2);
			yy = (long)Math.pow(y,2);

			if(d>=Math.sqrt(xx+yy)) {
				count = count + 1;
			}
		}
		System.out.println(count);
	}

['No abnormally found', 'Memory Limit Exceeded', 'Time Limit Exceeded', 'Compile Error']

Answer: ","['No abnormally found', 'Memory Limit Exceeded', 'Time Limit Exceeded', 'Compile Error']",D
rt06028,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.io.OutputStream;
import java.io.IOException;
import java.io.InputStream;
import java.io.PrintWriter;
import java.util.Scanner;

/**
 * Built using CHelper plug-in
 * Actual solution is at the top
 */
public class Main {
    public static void main(String[] args) {
        InputStream inputStream = System.in;
        OutputStream outputStream = System.out;
        Scanner in = new Scanner(inputStream);
        PrintWriter out = new PrintWriter(outputStream);
        C solver = new C();
        solver.solve(1, in, out);
        out.close();
    }

    static class C {
        public void solve(int testNumber, Scanner in, PrintWriter out) {
            // 入力
            long n = Long.parseLong(in.next());
            long k = Long.parseLong(in.next());
            long ans = 0;
            long x = 0;

            x = n;
            long tmp = Long.MAX_VALUE;
            while (true) {
                if (k == 1) tmp = 0;
                if (n % k == 1) tmp = 1;
                if (n % k == 0) tmp = 0;
                x = Math.abs(x - k);
                tmp = Math.min(tmp, x);
                if (x > tmp) break;
            }
            // 出力
            out.println(tmp);

        }

    }
}



['No abnormally found', 'Time Limit Exceeded', 'Internal error', 'Memory Limit Exceeded']

Answer: ","['No abnormally found', 'Time Limit Exceeded', 'Internal error', 'Memory Limit Exceeded']",B
rt06033,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.io.*;
import java.util.StringTokenizer;


public class Main {

    public static void main(String[] args) throws Exception {
        FastScanner scanner = new FastScanner(System.in);
        int N = scanner.nextInt();
        int[] P = new int[N];
        for (int i = 0; i < N; i++) {
            P[i] = scanner.nextInt();
        }
        int ans = 0;
        for (int i = 0; i < N; i++) {
            ans++;
            for (int j = 0; j < i; j++) {
                if (P[i] > P[j]) {
                    ans--;
                    break;
                }
            }
        }

        // 出力
        PrintWriter printWriter = new PrintWriter(System.out);
        printWriter.printf(""%d\n"", ans);
        printWriter.close();
    }

    static class FastScanner {
        private BufferedReader reader = null;
        private StringTokenizer tokenizer = null;

        public FastScanner(InputStream in) {
            reader = new BufferedReader(new InputStreamReader(in));
            tokenizer = null;
        }

        public String next() {
            if (tokenizer == null || !tokenizer.hasMoreTokens()) {
                try {
                    tokenizer = new StringTokenizer(reader.readLine());
                } catch (IOException e) {
                    throw new RuntimeException(e);
                }
            }
            return tokenizer.nextToken();
        }

        public String nextLine() {
            if (tokenizer == null || !tokenizer.hasMoreTokens()) {
                try {
                    return reader.readLine();
                } catch (IOException e) {
                    throw new RuntimeException(e);
                }
            }

            return tokenizer.nextToken(""\n"");
        }

        public long nextLong() {
            return Long.parseLong(next());
        }

        public long nextInt() {
            return Integer.parseInt(next());
        }

        public double nextDouble() {
             return Double.parseDouble(next());
         }

        public int[] nextIntArray(int n) {
            int[] a = new int[n];
            for (int i = 0; i < n; i++)
                a[i] = nextInt();
            return a;
        }

        public long[] nextLongArray(int n) {
            long[] a = new long[n];
            for (int i = 0; i < n; i++)
                a[i] = nextLong();
            return a;
        } 
    }
}

['No abnormally found', 'Compile Error', 'Runtime Error', 'Time Limit Exceeded']

Answer: ","['No abnormally found', 'Compile Error', 'Runtime Error', 'Time Limit Exceeded']",B
rt06038,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.io.OutputStream;
import java.io.IOException;
import java.io.InputStream;
import java.io.PrintWriter;
import java.util.Scanner;

/**
 * Built using CHelper plug-in
 * Actual solution is at the top
 */
public class Main {
    public static void main(String[] args) {
        InputStream inputStream = System.in;
        OutputStream outputStream = System.out;
        Scanner in = new Scanner(inputStream);
        PrintWriter out = new PrintWriter(outputStream);
        CGeTAC solver = new CGeTAC();
        solver.solve(1, in, out);
        out.close();
    }

    static class CGeTAC {
        public void solve(int testNumber, Scanner in, PrintWriter out) {
            // 入力
            int n = Integer.parseInt(in.next());
            int q = Integer.parseInt(in.next());
            String S = in.next();

            // 出力
            for (int i = 0; i < q; i++) {
                int l = Integer.parseInt(in.next());
                int r = Integer.parseInt(in.next());
                out.println(countString(S.substring(--l, r), ""AC""));

            }

        }

        private long countString(String str, String a) {
            return (str.length() - str.replace(a, """").length()) / a.length();
        }

    }
}



['Runtime Error', 'No abnormally found', 'Time Limit Exceeded', 'Memory Limit Exceeded']

Answer: ","['Runtime Error', 'No abnormally found', 'Time Limit Exceeded', 'Memory Limit Exceeded']",C
rt06053,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.io.PrintWriter;
import java.util.ArrayList;
import java.util.Comparator;
import java.util.List;
import java.util.Scanner;
import java.util.stream.Collectors;

public class Main {
    public static void main(String[] args) {
        PrintWriter out = new PrintWriter(System.out);
        Scanner sc = new Scanner(System.in);
        Task task = new Task();
        task.solve(sc, out);
        out.flush();
        sc.close();
    }

    static class Task {
        public void solve(Scanner sc, PrintWriter out) {
            int N = nint(sc);
            int M = nint(sc);
            int Q = nint(sc);
            List<Integer[]> LineList = new ArrayList<>();
            for (int i = 0; i < M; i++) {
                int l = nint(sc);
                int r = nint(sc);
                Integer[] lr = {l, r};
                LineList.add(lr);
            }

            List<Integer[]> QuestionList = new ArrayList<>();
            for (int i = 0; i < Q; i++) {
                int p = nint(sc);
                int q = nint(sc);
                Integer[] pq = {p, q};
                QuestionList.add(pq);
            }

            LineList = LineList.stream()
                    .sorted(Comparator.comparing(x -> x[1]))
                    .collect(Collectors.toList());

            for (int i = 0; i < Q; i++) {
                Integer[] Question = QuestionList.get(i);
                int p = Question[0];
                int q = Question[1];
                int count = 0;
                for (int j = 0; j < LineList.size(); j++) {
                    Integer[] Line = LineList.get(j);
                    int l = Line[0];
                    int r = Line[1];
                    if (r > q) {
                        break;
                    }
                    if (l >= p) {
                        count++;
                    }
                }
                out.println(count);
            }
        }
    }


    static int nint(Scanner sc) {
        return Integer.parseInt(sc.next());
    }

    static long nlong(Scanner sc) {
        return Long.parseLong(sc.next());
    }

    static double ndouble(Scanner sc) {
        return Double.parseDouble(sc.next());
    }

    static float nfloat(Scanner sc) {
        return Float.parseFloat(sc.next());
    }

    static String nstr(Scanner sc) {
        return sc.next();
    }

    static long[] longLine(Scanner sc, int size) {
        long[] lLine = new long[size];
        for (int i = 0; i < size; i++) {
            lLine[i] = nlong(sc);
        }
        return lLine;
    }

    static int[] intLine(Scanner sc, int size) {
        int[] iLine = new int[size];
        for (int i = 0; i < size; i++) {
            iLine[i] = nint(sc);
        }
        return iLine;
    }

    static String[] strLine(Scanner sc, int size) {
        String[] strLine = new String[size];
        for (int i = 0; i < size; i++) {
            strLine[i] = nstr(sc);
        }
        return strLine;
    }

    static long maxFromList(List<Long> longList) {
        return longList.stream().max(Comparator.naturalOrder()).get();
    }

    static long minFromList(List<Long> longList) {
        return longList.stream().min(Comparator.naturalOrder()).get();
    }

    public static int sumDigits(int n) {
        int sum = 0;
        while (n != 0) {
            sum += n % 10;
            n /= 10;
        }
        return sum;
    }

    public static long sumDigits(long n) {
        long sum = 0;
        while (n != 0) {
            sum += n % 10;
            n /= 10;
        }
        return sum;
    }

    static List<Integer> getIntegerList(Scanner sc, int size) {
        List<Integer> list = new ArrayList<>();
        for (int i = 0; i < size; i++) {
            list.add(nint(sc));
        }
        return list;
    }

    static List<Long> getLongList(Scanner sc, int size) {
        List<Long> list = new ArrayList<>();
        for (int i = 0; i < size; i++) {
            list.add(nlong(sc));
        }
        return list;
    }
}


['Compile Error', 'Time Limit Exceeded', 'Runtime Error', 'No abnormally found']

Answer: ","['Compile Error', 'Time Limit Exceeded', 'Runtime Error', 'No abnormally found']",B
rt06057,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.io.PrintWriter;
import java.util.Scanner;

public class Main {
    public static void main(String[] args){
        PrintWriter out = new PrintWriter(System.out);
        Scanner sc = new Scanner(System.in);
        //TaskC task = new TaskC();
        int N = nint(sc);
        long[] lLine = longLine(sc, N);
        TaskC.solve(N, lLine, sc, out, 0);
        out.flush();
        sc.close();
    }
    static class TaskC{
        static void solve(int N, long[] lLine, Scanner sc, PrintWriter out, int biginNum){

            long firstResult=0;
            int b1 = biginNum;
            for (int i = 1; i <= N; i++) {
                firstResult += Math.abs(lLine[i-1] - (b1+i));
            }
            long secondResult=0;
            int b2 =  biginNum + 1;
            for (int i = 1; i <= N; i++) {
                secondResult += Math.abs(lLine[i-1] - (b2+i));
            }
            long thirdResult=0;
            int b3 =  biginNum -1;
            for (int i = 1; i <= N; i++) {
                thirdResult += Math.abs(lLine[i-1] - (b3+i));
            }
            if (firstResult<=secondResult  && firstResult<=thirdResult){
                out.println(firstResult);
            }else if(secondResult < firstResult){
                TaskC.solve(N, lLine, sc, out, b2);
            }else if(thirdResult < firstResult) {
                TaskC.solve(N, lLine, sc, out, b3);
            }
        }
    }
    static int nint(Scanner sc){
        return Integer.parseInt(sc.next());
    }
    static long nlong(Scanner sc){
        return Long.parseLong(sc.next());
    }
    static double ndouble(Scanner sc){
        return Double.parseDouble(sc.next());
    }
    static float nfloat(Scanner sc){
        return Float.parseFloat(sc.next());
    }
    static String nstr(Scanner sc){
        return  String.valueOf(sc.next());
    }
    static long[] longLine(Scanner sc, int size){
        long[] lLine = new long[size];
        for (int i = 0; i < size; i++) {
            lLine[i] = nlong(sc);
        }
        return lLine;
    }
    static int[] intLine(Scanner sc, int size){
        int[] iLine = new int[size];
        for (int i = 0; i < size; i++) {
            iLine[i] = nint(sc);
        }
        return iLine;
    }
    static String[] strLine(Scanner sc, int size){
        String[] strLine = new String[size];
        for (int i = 0; i < size; i++) {
            strLine[i] = nstr(sc);
        }
        return strLine;
    }
}

['Runtime Error', 'Compile Error', 'Time Limit Exceeded', 'No abnormally found']

Answer: ","['Runtime Error', 'Compile Error', 'Time Limit Exceeded', 'No abnormally found']",A
rt06062,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
package AtCoder.AtCoderBeginnerContest101;

import java.util.Scanner;

public class Main {
        public static void main(String[] args){
            Scanner sr = new Scanner(System.in);
            String inputLine = sr.nextLine();
            Integer K = Integer.valueOf(inputLine);
            int count = 0;
            int n = 1;
            while (count != K) {
                boolean sunukeCheckFlag = true;
                for (int m =n+1; m <=30000; m++){
                    if (nPerSn(n) <= nPerSn(m)){
                        continue;
                    }else{
                        sunukeCheckFlag = false;
                        break;
                    }
                }
                if (sunukeCheckFlag){
                    System.out.println(n);
                    count++;
                    n++;
                }else {
                    n++;
                }
            }
        }
        public static double nPerSn(int num){

            double Sn = 0;
            int cNum = num;
            while (cNum != 0){
                Sn += (cNum % 10);
                cNum /= 10;
            }
            return num / Sn;
        }
}


['Compile Error', 'Time Limit Exceeded', 'Internal error', 'Runtime Error']

Answer: ","['Compile Error', 'Time Limit Exceeded', 'Internal error', 'Runtime Error']",D
rt06067,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.*;
public class Main {
    public static void main(String args[]) {
        Scanner in=new Scanner(System.in);
        int n=in.nextInt(),m=1000000000+7;
        long arr[]=new long[n];
        for(int i=0;i<n;i++)
            arr[i]=in.nextLong();
        long ans=0;
        
        for(int i=0;i<n;i++){
            for(int j=i+1;j<n;j++){
                ans=((ans%m)+(arr[i]*arr[j])%m)%m;
            }
        }
        System.out.println(ans);
    }
}

['Memory Limit Exceeded', 'Runtime Error', 'Compile Error', 'Time Limit Exceeded']

Answer: ","['Memory Limit Exceeded', 'Runtime Error', 'Compile Error', 'Time Limit Exceeded']",D
rt06077,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.*;
class Main{
  public static void main(String[] args){
Scanner sc=new Scanner(System.in);
		    int n=sc.nextInt();
		    long sum=0;
		    Map<Long,Long> m=new HashMap<>();
		    for(int i=0;i<n;i++){
		    		long c=sc.nextLong();
		    		sum+=c;
		    		if(!m.containsKey(c)) {
		    			m.put(c,1);
		    		}else {
		    			m.put(c,m.get(c)+1);
		    		}
		    }int k=sc.nextInt();
		    for(int i=0;i<k;i++) {
		    	 long prev=sc.nextLong();
				    long fill=sc.nextLong();
				    if(m.containsKey(prev)) {
				    long g=m.get(prev);
				    sum=sum-prev*g;
				    sum=sum+fill*g;
				  				    m.remove(prev);
				    
				    if(!m.containsKey(fill)) {
		    			m.put(fill,g);
		    		}else {
		    			m.put(fill,m.get(fill)+g);
		    		}
				    
                    }
				    System.out.println(sum);
		    }
		    
		   
		 

  }
    
  }


['No abnormally found', 'Runtime Error', 'Time Limit Exceeded', 'Compile Error']

Answer: ","['No abnormally found', 'Runtime Error', 'Time Limit Exceeded', 'Compile Error']",D
rt06078,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.*;
import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
class Main{
  public static void main(String[] args) throws Exception{
BufferedReader bf=new BufferedReader(new InputStreamReader(System.in));
    int n=Integer.parseInt(bf.readLine());
    int a[]=new int[n];
    String input=bf.readLine().trim();
    for(int i=0;i<input.length();i++){
a[i]=input.charAt(i);
    }
    int k=Integer.parseInt(bf.readLine());
    int res=0;
    for(int i=0;i<k;i++){
int c=Integer.parseInt(bf.readLine());
      int rep=Integer.parseInt(bf.readLine());
      help(a,c,rep);
      for(int j=0;j<a.length;j++){
res+=a[j];
      
    }
      System.out.println(res);
      res=0;
  }
  }
    
 static void help(int arr[],int prev,int fill){
		for(int i=0;i<arr.length;i++){
if(arr[i]==prev){
arr[i]=fill;
}
        }
 }
}


['Time Limit Exceeded', 'Runtime Error', 'Internal error', 'No abnormally found']

Answer: ","['Time Limit Exceeded', 'Runtime Error', 'Internal error', 'No abnormally found']",B
rt06092,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.io.FileNotFoundException;
import java.util.Scanner;

public class Main {
	public static void main(String[] args) throws FileNotFoundException {

		//    	File file = new File(""src/in.txt"");
		//    	Scanner sc = new Scanner(file);

		Scanner sc = new Scanner(System.in);

		int N = Integer.parseInt(sc.next());
		int[] A = new int[N];
		for(int i=0;i<N;i++) {
			A[i] = Integer.parseInt(sc.next());
		}
		int[] B = new int[N+1];
		for(int i=1;i<=N;i++) {
			for(int j=0;j<N;j++) {
				if(A[j]==i) {
					B[i] = j+1;
				}
			}
		}
		for(int i=1;i<=N;i++) {
			if(i<N) {
				System.out.print(B[i]+"" "");
			} else {
				System.out.println(B[i]);
			}
		}
	}
}

['No abnormally found', 'Runtime Error', 'Time Limit Exceeded', 'Compile Error']

Answer: ","['No abnormally found', 'Runtime Error', 'Time Limit Exceeded', 'Compile Error']",C
rt06094,"Question: Given a code snippet below, which behavior most likely to occur when execute it?

public class Main {
	public static void main(String[] args) throws FileNotFoundException {

		//    	File file = new File(""src/in.txt"");
		//    	Scanner sc = new Scanner(file);
		Scanner sc = new Scanner(System.in);

		int N = sc.nextInt();
		int M = sc.nextInt();
		int[] n = new int[N+1];

		for (int i = 1; i <= M; i++) {
			int x = sc.nextInt();
			n[x] = 1;
		}
		int cnt = 1;
		long ans = 1;
		for (int i=1;i<=N;i++) {
			if(n[i]!=1) {
				cnt++;
			} else {
				ans = mod(ans * mod(solve(cnt)));
				cnt =0;
			}
		}
		ans = mod(ans * mod(solve(cnt)));
		System.out.println(ans);
	}

	public static long solve(int N) {
		if (N==0) return 0;
		if (N==1||N==2)	return 1;
		long num1 = 1;
		long num2 = 1;
		long tmp = 1;
		for (int i = 1; i < N-1; i++) {
			tmp = mod(num1 + num2);
			num1 = mod(num2);
			num2 = mod(tmp);
		}
		return tmp;

	}

	public static long mod(long N) {

		return (long) N % 1000000007;

	}

}

['Runtime Error', 'Compile Error', 'No abnormally found', 'Memory Limit Exceeded']

Answer: ","['Runtime Error', 'Compile Error', 'No abnormally found', 'Memory Limit Exceeded']",B
rt06098,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.io.FileNotFoundException;
import java.util.Scanner;

public class Main {
	public static void main(String[] args) throws FileNotFoundException {

		//    	File file = new File(""src/in.txt"");
		//    	Scanner sc = new Scanner(file);

		Scanner sc = new Scanner(System.in);

		int N = sc.nextInt();
		//		System.out.println(solve(N));
		int M = sc.nextInt();
		int[] dangerStair = new int[M];
		boolean flg = true;
		for (int i = 0; i < M; i++) {
			dangerStair[i] = sc.nextInt();
			if (i > 0) {
				if (dangerStair[i] == dangerStair[i - 1] + 1) {
					flg = false;
				}
			}
		}
		if (flg == false) {
			System.out.println(""0"");
		} else {
			long ans = 1;
			if (M > 1) {
				for (int i = 0; i < M; i++) {
					if (i == 0) {
						ans = mod(ans * solve(dangerStair[i] - 1));
					} else {
						ans = mod(ans * solve(dangerStair[i] - dangerStair[i - 1] - 1));
					}
				}
				ans = mod(ans * solve(N - dangerStair[M - 1]));
			} else {
				ans = mod(solve(dangerStair[0] - 1) * solve(N - dangerStair[0] - 1));
			}
			System.out.println(ans);
		}

	}

	public static long solve(int N) {
		if (N == 0)
			return 1;
		long num1 = 1;
		long num2 = 1;
		long tmp = 1;
		for (int i = 1; i < N; i++) {
			tmp = num1 + num2;
			num1 = num2;
			num2 = tmp;
		}
		return num1;

	}

	public static long mod(long N) {

		return (long) N % 1000000007;

	}

}

['No abnormally found', 'Runtime Error', 'Internal error', 'Time Limit Exceeded']

Answer: ","['No abnormally found', 'Runtime Error', 'Internal error', 'Time Limit Exceeded']",B
rt06111,"Question: Given a code snippet below, which behavior most likely to occur when execute it?
import java.util.*;
public class Main{
	public static void main(){
	  Scanner sc=new Scanner(System.in);
      int n=sc.nextInt();
      int sum=0;
      int[] L=new int[n*2];
      for(int i=0;i<L.length;i++){
        L[i]=sc.nextInt();
      }
      sort(L);
      for(int i=0;i<L.length;i+=2){
        sum+=L[i];
	}
      System.out.println(sum);
}

['Time Limit Exceeded', 'No abnormally found', 'Runtime Error', 'Compile Error']

Answer: ","['Time Limit Exceeded', 'No abnormally found', 'Runtime Error', 'Compile Error']",D
